Date,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,0,P,R
02/04/2004,18.00.00,4,5,1491,721.0,23.0,3,1385,223,685,165,1915,1486.0,24,3,30.0,1.0,9012.0
02/04/2004,19.00.00,4,7,1620,710.0,24.0,1,1407,215,641,154,2052,1567.0,21,2,40.0,1.0,9978.0
02/04/2004,20.00.00,5,5,1693,787.0,25.0,4,1439,271,618,168,2083,1723.0,19,4,42.0,5.0,9483.0
02/04/2004,21.00.00,3,1374,415,14.0,1.0,1121,180,771,146,1685,1399,18.0,5,43,0.0,0.0,
02/04/2004,22.00.00,1,9,1287,245.0,10.0,1,982,115,841,124,1582,1291.0,17,8,47.0,0.0,9467.0
02/04/2004,23.00.00,2,3,1408,294.0,12.0,1,1052,149,761,124,1684,1443.0,16,8,53.0,2.0,100.0
03/04/2004,00.00.00,1,6,1254,139.0,9.0,0,941,98,828,106,1566,1270.0,17,1,51.0,8.0,9990.0
03/04/2004,01.00.00,1,3,1141,98.0,6.0,3,827,73,936,88,1488,1110.0,16,2,54.0,2.0,9933.0
03/04/2004,02.00.00,1,2,1141,88.0,5.0,3,777,69,986,83,1455,1060.0,15,1,58.0,2.0,9886.0
03/04/2004,03.00.00,0,9,1042,66.0,3.0,8,697,-200,1056,-200,1410,965.0,15,1,57.0,6.0,9796.0
03/04/2004,04.00.00,0,8,986,57.0,3.0,0,651,60,1145,74,1380,891.0,14,5,58.0,0.0,9488.0
03/04/2004,05.00.00,0,8,1005,57.0,3.0,3,673,56,1103,64,1387,905.0,13,7,61.0,6.0,9631.0
03/04/2004,06.00.00,0,9,1041,60.0,3.0,5,683,73,1112,69,1398,899.0,13,9,59.0,6.0,9408.0
03/04/2004,07.00.00,2,1272,200,9.0,5.0,959,159,846,91,1660,1136,13.0,3,61,7.0,0.0,
03/04/2004,08.00.00,3,1436,451,15.0,2.0,1154,203,704,96,1872,1391,15.0,1,55,8.0,0.0,
03/04/2004,09.00.00,3,1,1472,422.0,14.0,3,1126,211,720,106,1816,1460.0,17,0,50.0,5.0,9684.0
03/04/2004,10.00.00,-200,1418,-200,11.0,2.0,1023,-200,785,-200,1720,1410,19.0,7,43,3.0,0.0,
03/04/2004,11.00.00,-200,1410,-200,11.0,4.0,1030,-200,781,-200,1743,1372,20.0,7,41,7.0,1.0,
03/04/2004,12.00.00,-200,1438,-200,13.0,4.0,1096,-200,781,-200,1779,1266,23.0,3,35,8.0,1.0,
03/04/2004,13.00.00,-200,1278,-200,10.0,6.0,1000,-200,866,-200,1621,1014,23.0,8,30,5.0,0.0,
03/04/2004,14.00.00,-200,1257,-200,10.0,8.0,1006,-200,915,-200,1573,870,24.0,8,27,0.0,0.0,
03/04/2004,15.00.00,-200,1331,-200,11.0,9.0,1046,-200,882,-200,1635,905,25.0,0,27,5.0,0.0,
03/04/2004,16.00.00,-200,1361,-200,,5.0,1102,-200,834,-200,1704,991,25.0,8,26,5.0,0.0,
03/04/2004,17.00.00,-200,1398,-200,15.0,2.0,1156,-200,812,-200,1722,1076,25.0,1,27,1.0,0.0,
03/04/2004,18.00.00,-200,1483,-200,17.0,1.0,1213,-200,764,-200,1798,1249,23.0,7,28,6.0,0.0,
03/04/2004,19.00.00,-200,1697,-200,26.0,7.0,1471,-200,625,-200,2153,1548,22.0,1,36,8.0,0.0,
03/04/2004,20.00.00,-200,1459,-200,14.0,2.0,1124,-200,736,-200,1823,1300,19.0,9,47,5.0,1.0,
03/04/2004,21.00.00,-200,1268,-200,8.0,5.0,918,-200,873,-200,1602,1029,18.0,7,50,4.0,1.0,
03/04/2004,22.00.00,-200,1469,-200,14.0,3.0,1128,-200,762,-200,1870,1207,18.0,1,51,3.0,1.0,
03/04/2004,23.00.00,-200,1316,-200,9.0,3.0,952,-200,847,-200,1644,1047,17.0,5,53,8.0,1.0,
04/04/2004,00.00.00,-200,1224,-200,7.0,8.0,892,-200,884,-200,1580,923,16.0,7,56,5.0,1.0,
04/04/2004,01.00.00,-200,1215,-200,6.0,7.0,843,-200,929,-200,1551,862,15.0,9,59,2.0,1.0,
04/04/2004,02.00.00,-200,1115,-200,5.0,4.0,782,-200,980,-200,1500,752,15.0,2,62,4.0,1.0,
04/04/2004,03.00.00,-200,1124,-200,5.0,6.0,793,-200,965,-200,1521,791,14.0,7,65,0.0,1.0,
04/04/2004,04.00.00,-200,1028,-200,3.0,5.0,682,-200,1090,-200,1448,697,14.0,3,65,3.0,1.0,
04/04/2004,05.00.00,-200,1010,-200,3.0,0.0,650,-200,1171,-200,1434,664,13.0,7,66,5.0,1.0,
04/04/2004,06.00.00,-200,1074,-200,4.0,4.0,731,-200,1020,-200,1488,891,12.0,9,69,1.0,1.0,
04/04/2004,07.00.00,-200,1034,-200,3.0,5.0,684,-200,1110,-200,1423,813,13.0,7,64,8.0,1.0,
04/04/2004,08.00.00,-200,1130,-200,4.0,,720,-200,1063,-200,1461,828,15.0,3,59,0.0,1.0,
04/04/2004,09.00.00,-200,1275,-200,8.0,0.0,900,-200,868,-200,1634,1057,18.0,1,49,8.0,1.0,
04/04/2004,10.00.00,-200,1324,-200,9.0,0.0,939,-200,846,-200,1658,1011,21.0,5,40,7.0,1.0,
04/04/2004,11.00.00,-200,1268,-200,8.0,1.0,902,-200,906,-200,1589,932,23.0,3,37,1.0,1.0,
04/04/2004,12.00.00,-200,1272,-200,8.0,6.0,924,-200,895,-200,1603,881,25.0,1,33,8.0,1.0,
04/04/2004,13.00.00,-200,1160,-200,7.0,1.0,860,-200,969,-200,1531,646,25.0,6,32,1.0,1.0,
04/04/2004,14.00.00,-200,1136,-200,5.0,6.0,792,-200,1057,-200,1476,536,25.0,8,31,1.0,1.0,
04/04/2004,15.00.00,-200,1296,-200,10.0,0.0,977,-200,863,-200,1642,746,26.0,1,30,8.0,1.0,
04/04/2004,16.00.00,-200,1345,-200,10.0,5.0,996,-200,841,-200,1678,833,24.0,4,36,0.0,1.0,
04/04/2004,17.00.00,-200,1296,-200,10.0,1.0,983,-200,845,-200,1626,802,23.0,0,36,2.0,1.0,
04/04/2004,18.00.00,-200,1258,-200,10.0,0.0,977,-200,838,-200,1636,838,22.0,1,39,3.0,1.0,
04/04/2004,19.00.00,-200,1420,-200,13.0,0.0,1085,-200,755,-200,1756,1051,19.0,8,44,6.0,1.0,
04/04/2004,20.00.00,-200,1366,-200,10.0,5.0,997,-200,830,-200,1673,1041,18.0,5,48,9.0,1.0,
04/04/2004,21.00.00,-200,1113,-200,5.0,2.0,772,-200,989,-200,1493,646,16.0,6,56,1.0,1.0,
04/04/2004,22.00.00,-200,1196,-200,6.0,9.0,853,-200,909,-200,1556,769,15.0,8,58,8.0,1.0,
04/04/2004,23.00.00,-200,1188,-200,6.0,4.0,829,-200,930,-200,1540,785,15.0,3,60,8.0,1.0,
05/04/2004,00.00.00,-200,1102,-200,4.0,7.0,750,-200,1007,-200,1470,613,14.0,7,64,4.0,1.0,
05/04/2004,01.00.00,-200,969,-200,2.0,4.0,611,-200,1239,-200,1330,430,14.0,8,63,3.0,1.0,
05/04/2004,02.00.00,-200,983,-200,2.0,2.0,600,-200,1233,-200,1375,485,15.0,0,61,5.0,1.0,
05/04/2004,03.00.00,-200,876,-200,1.0,1.0,505,-200,1456,-200,1294,467,15.0,5,56,9.0,0.0,
05/04/2004,04.00.00,-200,884,-200,0.0,9.0,489,-200,1536,-200,1278,436,16.0,0,54,0.0,0.0,
05/04/2004,05.00.00,-200,1024,-200,3.0,1.0,658,-200,1175,-200,1417,682,13.0,5,63,9.0,0.0,
05/04/2004,06.00.00,-200,1126,-200,6.0,2.0,822,-200,945,-200,1541,927,12.0,9,65,3.0,0.0,
05/04/2004,07.00.00,-200,1415,-200,13.0,2.0,1089,-200,767,-200,1795,1192,13.0,4,62,5.0,0.0,
05/04/2004,08.00.00,-200,1631,-200,25.0,8.0,1449,-200,570,-200,2299,1615,14.0,5,58,8.0,0.0,
05/04/2004,09.00.00,-200,1499,-200,18.0,2.0,1247,-200,647,-200,1972,1505,15.0,3,56,7.0,0.0,
05/04/2004,10.00.00,3,1,1461,424.0,14.0,3,1127,236,703,124,1836,1451.0,15,6,57.0,4.0,75.0
05/04/2004,11.00.00,3,1430,339,13.0,7.0,1107,228,713,121,1853,1409,16.0,6,55,2.0,1.0,
05/04/2004,12.00.00,3,2,1498,445.0,15.0,7,1171,206,684,114,1942,1434.0,17,0,54.0,3.0,434.0
05/04/2004,13.00.00,3,1,1454,535.0,15.0,4,1162,188,682,114,1915,1457.0,18,0,51.0,5.0,552.0
05/04/2004,14.00.00,2,5,1402,278.0,12.0,6,1069,158,733,106,1793,1325.0,19,5,47.0,5.0,653.0
05/04/2004,15.00.00,2,1,1327,256.0,9.0,8,971,124,803,89,1705,1120.0,21,6,41.0,7.0,606.0
05/04/2004,16.00.00,2,1273,245,9.0,6.0,963,98,832,82,1662,931,22.0,2,38,3.0,1.0,
05/04/2004,17.00.00,3,2,1457,458.0,16.0,3,1190,160,678,111,1877,1212.0,20,3,42.0,8.0,53.0
05/04/2004,18.00.00,4,1,1543,710.0,19.0,8,1290,194,631,132,2011,1353.0,19,7,45.0,4.0,312.0
05/04/2004,19.00.00,3,9,1499,678.0,18.0,0,1239,174,651,121,1957,1359.0,18,8,47.0,5.0,199.0
05/04/2004,20.00.00,3,1,1378,436.0,13.0,6,1102,157,742,116,1796,1273.0,17,9,49.0,4.0,64.0
05/04/2004,21.00.00,2,1243,178,8.0,7.0,928,109,852,100,1622,1079,17.0,5,50,9.0,1.0,
05/04/2004,22.00.00,1,7,1196,160.0,7.0,7,885,85,884,89,1589,973.0,17,4,51.0,8.0,230.0
05/04/2004,23.00.00,1,6,1137,177.0,7.0,3,869,90,890,92,1554,951.0,17,0,53.0,9.0,363.0
06/04/2004,00.00.00,1,1015,101,4.0,1.0,718,61,1065,71,1428,714,16.0,6,55,4.0,1.0,
06/04/2004,01.00.00,0,8,978,66.0,2.0,7,635,36,1188,51,1382,579.0,15,9,57.0,0.0,224.0
06/04/2004,02.00.00,0,5,933,40.0,1.0,5,547,25,1357,39,1336,542.0,15,0,59.0,2.0,59.0
06/04/2004,03.00.00,0,5,927,54.0,1.0,9,579,-200,1267,-200,1370,562.0,14,5,61.0,4.0,41.0
06/04/2004,04.00.00,0,5,908,39.0,1.0,8,569,24,1303,35,1360,526.0,14,1,61.0,6.0,9883.0
06/04/2004,05.00.00,0,8,980,,3.0,4,677,73,1141,64,1435,659.0,14,6,58.0,8.0,9711.0
06/04/2004,06.00.00,1,7,1236,120.0,8.0,5,920,164,880,94,1641,1012.0,14,4,58.0,9.0,9594.0
06/04/2004,07.00.00,4,5,1664,599.0,24.0,1,1407,329,594,134,2198,1564.0,15,3,55.0,2.0,9538.0
06/04/2004,08.00.00,6,2,1757,1084.0,33.0,7,1636,302,494,129,2560,,16,2,52.0,5.0,9576.0
06/04/2004,09.00.00,4,4,1524,776.0,,0,1350,256,588,125,2096,1604.0,18,4,46.0,3.0,9734.0
06/04/2004,10.00.00,2,9,1329,470.0,14.0,1,1119,182,707,107,1823,1288.0,19,6,41.0,8.0,9407.0
06/04/2004,11.00.00,1,6,1167,169.0,7.0,6,884,105,881,78,1580,931.0,20,2,40.0,1.0,9370.0
06/04/2004,12.00.00,2,6,1369,304.0,14.0,5,1132,136,715,91,1818,1162.0,20,9,36.0,6.0,8939.0
06/04/2004,13.00.00,2,9,1284,405.0,13.0,6,1103,167,755,116,1704,1064.0,20,4,34.0,7.0,8229.0
06/04/2004,14.00.00,2,5,1221,297.0,11.0,5,1032,166,811,131,1630,913.0,19,3,35.0,4.0,7813.0
06/04/2004,15.00.00,1,9,1096,220.0,9.0,2,947,115,872,113,1519,684.0,18,6,36.0,9.0,7829.0
06/04/2004,16.00.00,1,9,1143,226.0,10.0,3,988,109,849,98,1590,710.0,18,8,36.0,8.0,7883.0
06/04/2004,17.00.00,2,7,1251,456.0,14.0,0,1116,143,760,116,1716,923.0,17,5,40.0,6.0,8068.0
06/04/2004,18.00.00,3,1268,470,15.0,0.0,1148,159,728,120,1776,1006,16.0,8,44,3.0,0.0,
06/04/2004,19.00.00,3,3,1314,503.0,15.0,1,1150,181,726,126,1784,1083.0,16,3,47.0,7.0,8746.0
06/04/2004,20.00.00,3,2,1315,459.0,14.0,8,1142,178,724,126,1807,1161.0,15,6,50.0,7.0,8947.0
06/04/2004,21.00.00,1,8,1095,227.0,8.0,5,918,91,896,90,1527,800.0,15,7,49.0,4.0,8768.0
06/04/2004,22.00.00,1,3,1027,152.0,5.0,9,808,76,996,81,1458,647.0,15,8,48.0,6.0,8653.0
06/04/2004,23.00.00,1,1,1012,94.0,4.0,8,752,66,1053,74,1393,649.0,15,7,47.0,0.0,8325.0
07/04/2004,00.00.00,0,9,948,93.0,4.0,0,710,56,1127,67,1352,575.0,15,7,45.0,9.0,8121.0
07/04/2004,01.00.00,0,7,889,49.0,2.0,3,603,35,1308,46,1271,455.0,15,6,44.0,9.0,7920.0
07/04/2004,02.00.00,0,4,830,30.0,1.0,4,538,21,1475,30,1214,392.0,15,6,44.0,4.0,7827.0
07/04/2004,03.00.00,0,3,801,30.0,0.0,7,464,-200,1749,-200,1154,340.0,16,1,42.0,4.0,7718.0
07/04/2004,04.00.00,0,3,804,30.0,0.0,7,468,12,1826,19,1166,320.0,15,7,45.0,4.0,8063.0
07/04/2004,05.00.00,0,3,824,32.0,0.0,8,478,22,1705,32,1200,331.0,15,3,50.0,1.0,8617.0
07/04/2004,06.00.00,0,8,1000,59.0,3.0,6,688,55,1257,61,1398,426.0,14,2,58.0,6.0,9443.0
07/04/2004,07.00.00,2,8,1307,277.0,12.0,9,1082,152,777,111,1769,830.0,14,3,58.0,2.0,9431.0
07/04/2004,08.00.00,3,1,1286,454.0,15.0,7,1171,153,716,102,1821,1006.0,15,0,52.0,0.0,8817.0
07/04/2004,09.00.00,2,3,1150,211.0,8.0,6,925,152,865,116,1576,820.0,13,6,61.0,4.0,9519.0
07/04/2004,10.00.00,1,6,1087,196.0,7.0,4,876,112,911,96,1554,737.0,16,1,53.0,1.0,9675.0
07/04/2004,11.00.00,1,5,1016,110.0,,6,839,119,991,97,1448,790.0,16,6,44.0,3.0,8294.0
07/04/2004,12.00.00,1,6,1029,164.0,7.0,8,892,122,937,110,1474,760.0,17,4,40.0,3.0,7922.0
07/04/2004,13.00.00,1,8,1109,151.0,9.0,1,943,115,883,103,1604,767.0,18,1,42.0,2.0,8679.0
07/04/2004,14.00.00,1,4,997,112.0,6.0,1,817,84,1030,79,1426,626.0,14,4,51.0,8.0,8433.0
07/04/2004,15.00.00,1,9,1177,117.0,7.0,5,880,146,927,104,1552,776.0,10,9,76.0,4.0,9953.0
07/04/2004,16.00.00,1,2,1045,120.0,5.0,9,808,65,1038,69,1421,589.0,16,4,47.0,7.0,8819.0
07/04/2004,17.00.00,2,3,1171,251.0,12.0,7,1073,120,847,96,1623,872.0,18,0,37.0,1.0,7598.0
07/04/2004,18.00.00,3,3,1221,435.0,13.0,5,1101,185,799,121,1700,996.0,14,7,48.0,7.0,8089.0
07/04/2004,19.00.00,3,1,1262,345.0,14.0,5,1133,157,774,129,1748,1033.0,11,3,71.0,3.0,9514.0
07/04/2004,20.00.00,3,3,1207,343.0,11.0,0,1013,174,876,116,1632,982.0,10,0,74.0,0.0,9087.0
07/04/2004,21.00.00,1,2,956,62.0,3.0,2,666,62,1235,71,1282,518.0,9,8,71.0,8.0,8702.0
07/04/2004,22.00.00,1,3,1020,70.0,4.0,3,727,81,1153,85,1391,631.0,9,3,75.0,2.0,8796.0
07/04/2004,23.00.00,1,9,1107,114.0,7.0,1,861,118,957,101,1510,879.0,9,6,76.0,0.0,9088.0
08/04/2004,00.00.00,1,4,1020,88.0,4.0,8,752,95,1074,97,1398,839.0,9,3,75.0,0.0,8799.0
08/04/2004,01.00.00,1,5,1051,95.0,5.0,7,798,84,1016,89,1455,876.0,9,0,76.0,7.0,8825.0
08/04/2004,02.00.00,1,1,965,83.0,4.0,1,716,56,1087,72,1383,827.0,8,2,79.0,6.0,8672.0
08/04/2004,03.00.00,0,8,890,63.0,3.0,3,672,-200,1183,-200,1338,781.0,7,6,80.0,6.0,8437.0
08/04/2004,04.00.00,-200,823,38,1.0,8.0,568,43,1366,57,1263,699,8.0,3,75,6.0,0.0,
08/04/2004,05.00.00,0,8,869,68.0,2.0,8,642,69,1291,62,1288,723.0,8,1,72.0,1.0,7798.0
08/04/2004,06.00.00,1,1,939,59.0,4.0,8,754,74,1169,64,1384,797.0,8,1,70.0,4.0,7609.0
08/04/2004,07.00.00,2,6,1274,226.0,13.0,8,1109,161,820,80,1723,1138.0,8,1,70.0,5.0,7627.0
08/04/2004,08.00.00,5,1,1512,802.0,27.0,1,1482,308,596,118,2189,1605.0,9,9,64.0,3.0,7859.0
08/04/2004,09.00.00,4,2,1435,585.0,19.0,1,1271,300,676,130,1885,1569.0,13,0,54.0,2.0,8090.0
08/04/2004,10.00.00,2,6,1207,324.0,11.0,7,1041,189,813,113,1620,1319.0,16,5,42.0,6.0,7912.0
08/04/2004,11.00.00,2,4,1223,308.0,,7,1075,164,818,112,1678,1198.0,19,3,34.0,2.0,7566.0
08/04/2004,12.00.00,2,1,1121,238.0,11.0,3,1026,122,865,96,1541,958.0,21,5,27.0,4.0,6941.0
08/04/2004,13.00.00,2,6,1176,301.0,14.0,2,1123,166,816,125,1609,1068.0,20,4,26.0,7.0,6323.0
08/04/2004,14.00.00,2,8,1144,294.0,13.0,9,1114,181,845,128,1551,1010.0,20,6,22.0,6.0,5432.0
08/04/2004,15.00.00,2,5,1136,353.0,13.0,2,1089,127,856,101,1552,928.0,20,6,24.0,8.0,5931.0
08/04/2004,16.00.00,1,9,1085,209.0,10.0,7,1004,106,888,95,1454,816.0,21,0,25.0,4.0,6264.0
08/04/2004,17.00.00,3,6,1297,538.0,19.0,7,1287,192,723,138,1798,1216.0,21,5,24.0,5.0,6203.0
08/04/2004,18.00.00,4,6,1408,808.0,24.0,0,1404,241,646,154,1972,1463.0,19,3,28.0,6.0,6357.0
08/04/2004,19.00.00,6,3,1618,974.0,29.0,1,1530,326,579,171,2167,1791.0,18,0,32.0,9.0,6737.0
08/04/2004,20.00.00,4,3,1319,544.0,15.0,8,1172,232,746,136,1699,1425.0,15,8,39.0,8.0,7096.0
08/04/2004,21.00.00,1,6,1045,138.0,7.0,0,857,92,968,93,1410,922.0,15,3,41.0,5.0,7194.0
08/04/2004,22.00.00,1,4,1058,92.0,6.0,3,824,95,993,99,1411,971.0,14,1,46.0,0.0,7363.0
08/04/2004,23.00.00,2,-200,137,-200.0,0.0,-200,129,-200,106,-200,-200,-200.0,-200,-200,,,
09/04/2004,00.00.00,2,4,-200,189.0,-200.0,0,-200,154,-200,109,-200,-200.0,-200,-200,-200.0,,
09/04/2004,01.00.00,1,8,-200,159.0,-200.0,0,-200,118,-200,97,-200,-200.0,-200,-200,-200.0,,
09/04/2004,02.00.00,1,-200,80,-200.0,0.0,-200,69,-200,83,-200,-200,-200.0,-200,-200,,,
09/04/2004,03.00.00,1,-200,66,-200.0,0.0,-200,-200,-200,-200,-200,-200,-200.0,-200,-200,,,
09/04/2004,04.00.00,1,-200,87,-200.0,0.0,-200,97,-200,79,-200,-200,-200.0,-200,-200,,,
09/04/2004,05.00.00,0,9,-200,79.0,-200.0,0,-200,145,-200,84,-200,-200.0,-200,-200,-200.0,,
09/04/2004,06.00.00,1,5,-200,150.0,-200.0,0,-200,169,-200,86,-200,-200.0,-200,-200,-200.0,,
09/04/2004,07.00.00,2,6,-200,196.0,-200.0,0,-200,250,-200,111,-200,-200.0,-200,-200,-200.0,,
09/04/2004,08.00.00,2,9,-200,299.0,-200.0,0,-200,215,-200,117,-200,-200.0,-200,-200,-200.0,,
09/04/2004,09.00.00,2,7,-200,254.0,-200.0,0,-200,237,-200,122,-200,-200.0,-200,-200,-200.0,,
09/04/2004,10.00.00,2,4,-200,226.0,-200.0,0,-200,190,-200,119,-200,-200.0,-200,-200,-200.0,,
09/04/2004,11.00.00,2,6,-200,262.0,-200.0,0,-200,219,-200,121,-200,-200.0,-200,-200,-200.0,,
09/04/2004,12.00.00,4,1,-200,505.0,-200.0,0,-200,294,-200,127,-200,-200.0,-200,-200,-200.0,,
09/04/2004,13.00.00,4,3,-200,512.0,-200.0,0,-200,253,-200,135,-200,-200.0,-200,-200,-200.0,,
09/04/2004,14.00.00,2,2,-200,159.0,-200.0,0,-200,176,-200,119,-200,-200.0,-200,-200,-200.0,,
09/04/2004,15.00.00,3,4,-200,337.0,-200.0,0,-200,243,-200,137,-200,-200.0,-200,-200,-200.0,,
09/04/2004,16.00.00,3,6,-200,357.0,-200.0,0,-200,214,-200,139,-200,-200.0,-200,-200,-200.0,,
09/04/2004,17.00.00,2,5,-200,194.0,-200.0,0,-200,141,-200,117,-200,-200.0,-200,-200,-200.0,,
09/04/2004,18.00.00,2,8,-200,278.0,-200.0,0,-200,166,-200,127,-200,-200.0,-200,-200,-200.0,,
09/04/2004,19.00.00,3,4,-200,303.0,-200.0,0,-200,197,-200,137,-200,-200.0,-200,-200,-200.0,,
09/04/2004,20.00.00,3,-200,234,-200.0,0.0,-200,191,-200,127,-200,-200,-200.0,-200,-200,,,
09/04/2004,21.00.00,2,1,-200,128.0,-200.0,0,-200,159,-200,107,-200,-200.0,-200,-200,-200.0,,
09/04/2004,22.00.00,2,4,-200,160.0,-200.0,0,-200,175,-200,102,-200,-200.0,-200,-200,-200.0,,
09/04/2004,23.00.00,2,3,1176,169.0,8.0,4,917,157,866,95,1560,1151.0,12,0,67.0,9.0,9523.0
10/04/2004,00.00.00,1,3,1047,77.0,5.0,4,783,83,1014,79,1449,975.0,12,0,66.0,9.0,9336.0
10/04/2004,01.00.00,1,7,1116,98.0,6.0,9,854,118,929,78,1533,1034.0,11,5,70.0,1.0,9503.0
10/04/2004,02.00.00,1,7,1074,102.0,6.0,4,832,101,951,75,1507,980.0,11,4,69.0,8.0,9390.0
10/04/2004,03.00.00,1,922,65,3.0,6.0,687,-200,1142,-200,1390,825,11.0,1,69,3.0,0.0,
10/04/2004,04.00.00,0,8,898,69.0,3.0,3,669,46,1163,52,1386,807.0,10,8,70.0,3.0,9092.0
10/04/2004,05.00.00,1,970,89,4.0,0.0,708,81,1121,55,1435,842,10.0,2,73,4.0,0.0,
10/04/2004,06.00.00,1,4,1073,134.0,6.0,0,812,112,988,65,1500,950.0,10,8,70.0,5.0,9142.0
